name,optimal
25FV47,5.5018458882867447945812325883916E+03
80BAU3B,9.8722419240909025757911711738799E+05
ADLITTLE,2.2549496316238038228101176621492E+05
AFIRO,-4.6475314285714285714285714285714E+02
AGG,-3.5991767286576506712640824319636E+07
AGG2,-2.0239252355977109024317661926133E+07
AGG3,1.0312115935089225579061058796215E+07
BANDM,-1.5862801845012064052174123768736E+02
BEACONFD,3.35924858072E+04
BLEND,-3.0812149845828220173774356124984E+01
BNL1,1.9776295615228892439564398331821E+03
BNL2,1.811236540358545170448413697691E+03
BOEING1,-3.352135675071266218429697314682E+02
BOEING2,-3.1501872801520287870462195913263E+02
BORE3D,1.3730803942084927215581987251301E+03
BRANDY,1.5185098964881283835426751550618E+03
CAPRI,2.6900129137681610087717280693754E+03
CYCLE,-5.2263930248941017172447233836217E+00
CZPROB,2.1851966988565774858951155947191E+06
D2Q06C,1.2278421081418945895739128812392E+05
D6CUBE,3.1549166666666666666666666666667E+02
DEGEN2,-1.435178E+03
DEGEN3,-9.87294E+02
DFL001,1.1266396046671392202377652175477E+07
E226,-1.8751929066370549102605687681285E+01
ETAMACRO,-7.557152333749133350792583667773E+02
FFFFF800,5.55679564817496376532864378969E+05
FINNIS,1.7279106559561159432297900375543E+05
FIT1D,-9.1463780924209269467749025024617E+03
FIT1P,9.1463780924209269467749025024617E+03
FIT2D,-6.8464293293832069575943518435837E+04
FIT2P,6.8464293293832069575943518435837E+04
FORPLAN,-6.6421896127220457481235119701692E+02
GANGES,-1.0958573612927811623444890424357E+05
GFRD-PNC,6.9022359995488088295415596232193E+06
GREENBEA,-7.2555248129845987457557870574845E+07
GREENBEB,-4.3022602612065867539213672544432E+06
GROW15,-1.0687094129357533671604040930313E+08
GROW22,-1.6083433648256296718456039982613E+08
GROW7,-4.7787811814711502616766956242865E+07
ISRAEL,-8.9664482186304572966200464196045E+05
KB2,-1.7499001299062057129526866493726E+03
LOTFI,-2.526470606188E+01
MAROS,-5.8063743701125895401208534974734E+04
MAROS-R7,1.4971851664796437907337543903552E+06
MODSZK1,3.2061972906431580494333823530763E+02
NESM,1.4076036487562728337980641375835E+07
PEROLD,-9.3807552782351606734833270386511E+03
PILOT,-5.5748972928406818073034256636894E+02
PILOT-JA,-6.1131364655813432748848620538024E+03
PILOT-WE,-2.7201075328449639629439185412556E+06
PILOT4,-2.5811392588838886745830997266797E+03
PILOT87,3.017103473331105277216600201995E+02
PILOTNOV,-4.4972761882188711430996211783943E+03
QAP12,5.2289435056E+02
QAP15,1.0409940410E+03
QAP8,2.0350000000E+02
RECIPELP,-2.66616E+02
SC105,-5.2202061211707248062628010857689E+01
SC205,-5.2202061211707248062628010857689E+01
SC50A,-6.4575077058564509026860413914575E+01
SC50B,-7.0E+01
SCAGR25,-1.4753433060768523167790925075974E+07
SCAGR7,-2.331389824330984E+06
SCFXM1,1.8416759028348943683579089143655E+04
SCFXM2,3.6660261564998812956939504848248E+04
SCFXM3,5.4901254549751454623888724925519E+04
SCORPION,1.8781248227381066296479411763586E+03
SCRS8,9.0429695380079143579923107948844E+02
SCSD1,8.6666666743333647292533502995263E+00
SCSD6,5.0500000077144345289985489081569E+01
SCSD8,9.0499999992546440094445846417654E+02
SCTAP1,1.41225E+03
SCTAP2,1.7248071428571428571428571428571E+03
SCTAP3,1.424E+03
SEBA,1.57116E+04
SHARE1B,-7.658931857918568112797274346007E+04
SHARE2B,-4.1573224074141948654519910873841E+02
SHELL,1.208825346E+09
SHIP04L,1.7933245379703557625562556255626E+06
SHIP04S,1.7987147004453921719954082726049E+06
SHIP08L,1.9090552113891315179803819998425E+06
SHIP08S,1.920098210534619710172695474693E+06
SHIP12L,1.470187919329264822702175543886E+06
SHIP12S,1.4892361344061291565686421605401E+06
SIERRA,1.539436218363193E+07
STAIR,-2.5126695119296330352803637106304E+02
STANDATA,1.2576995E+03
STANDMPS,1.4060175E+03
STOCFOR1,-4.1131976219436406065682760731514E+04
STOCFOR2,-3.9024408537882029604587908772433E+04
STOCFOR3,-3.9976783943649587403509204700686E+04
TRUSS,4.5881584718561673163624258476816E+05
TUFF,2.9214776509361284488226309994302E-01
VTP-BASE,1.298314624613613657395984384889E+05
WOOD1P,1.4429024115734092400010936668043E+00
WOODW,1.304476333084229269005552085566E+00
